IDBOOK;IDSCHOOL;IDCLASS;IDSTUD;ITSEX;ASDAGE;ILRELIAB;ASBG01;ASBG03;ASBG04;JKZONE;JKREP;TOTWGT;SENWGT;ASMMAT01;ASMMAT02;ASMMAT03;ASMMAT04;ASMMAT05;ASSSCI01;ASSSCI02;ASSSCI03;ASSSCI04;ASSSCI05;ASMIBM01;ASMIBM02;ASMIBM03;ASMIBM04;ASMIBM05;ASSIBM01;ASSIBM02;ASSIBM03;ASSIBM04;ASSIBM05;ASBGDML;ASDGDML;ASBGICM;ASDGICM;ASBGICS;ASDGICS;ASBGSEC;ASDGSEC;ASBGSSB;ASDGSSB;ASBGSB;ASDGSB;ASBGSLM;ASDGSLM;ASBGSCM;ASDGSCM;ASBGSLS;ASDGSLS;ASBGSCS;ASDGSCS;ASBGVEP;ASDGVEP;ASBGDSL;ASDGDSL;ASBGHRL;ASDGHRL;ASDG05S
7;5007;500702;50070202;1;10.33;1;1;1;5;63;1;311.317082;0.045692;485.24101;482.04295;453.84521;447.73252;460.45478;542.52699;518.21052;532.44458;570.21817;535.87053;3;3;2;2;2;3;3;3;4;3;7.37265;3;7.09938;2;8.126;2;8.52499;2;9.67568;1;10.26863;1;8.35903;3;8.60187;3;9.65304;2;9.56806;2;10.81893;1;6.44063;3;;;3
9;5007;500702;50070203;1;9.67;1;1;1;3;63;1;311.317082;0.045692;555.68111;651.6414;578.16891;638.08065;635.70101;602.25762;632.2629;674.97903;632.87675;692.05654;4;5;4;5;5;4;5;5;5;5;9.19036;2;12.0657;1;11.89622;1;10.52055;1;11.13407;1;8.58842;2;9.03594;2;11.12809;1;11.19654;1;11.21249;1;9.8007;1;7.42279;3;;;3
10;5007;500702;50070204;2;10.17;1;2;2;5;63;1;311.317082;0.045692;629.75844;658.84034;656.12119;630.6496;685.76887;647.30522;713.76714;668.82298;671.0502;715.23005;5;5;5;5;5;5;5;5;5;5;9.668;2;6.8496;2;8.49901;2;11.12316;1;7.48602;3;12.77213;1;9.03594;2;14.24115;1;9.2842;2;13.79425;1;12.93917;1;9.40243;2;;;3
11;5007;500702;50070205;1;9.92;0;1;1;5;63;1;311.317082;0.045692;564.90465;569.46555;546.9896;582.96437;604.13741;621.90461;585.94106;611.03417;601.99721;617.88625;4;4;3;4;4;4;4;4;4;4;9.19036;2;6.8496;2;7.16102;2;9.35473;2;7.48602;3;9.5024;2;7.41572;3;6.67769;3;9.2842;2;10.6627;1;9.8007;1;7.8971;3;;;3
1;5007;500702;50070206;1;10;1;1;3;2;63;1;311.317082;0.045692;444.3447;438.35963;419.69492;427.26557;387.6085;430.32033;425.17905;472.0706;459.10344;453.3771;2;2;2;2;1;2;2;2;2;2;6.16447;3;8.74997;2;7.77868;2;9.35473;2;7.9754;2;11.31834;1;7.14221;3;7.47244;3;8.94599;2;8.46101;3;6.46932;3;8.96617;2;;;2
12;5007;500702;50070207;2;10.5;0;2;1;2;63;1;311.317082;0.045692;477.54493;465.25015;436.21452;448.00168;496.44968;505.27125;497.45849;499.40599;417.74588;473.79185;3;2;2;2;3;3;3;3;2;2;8.66094;2;12.0657;1;9.87126;1;7.55318;3;8.84474;2;7.8887;3;9.26928;2;9.80763;2;10.06643;1;9.27914;2;9.12168;2;8.74519;2;;;2
2;5007;500702;50070208;2;9.67;1;2;1;2;63;1;311.317082;0.045692;524.10532;522.76761;509.96549;510.60554;482.1362;555.9679;478.96466;521.93742;540.40711;535.23225;3;3;3;3;3;4;3;3;3;3;10.42846;2;5.42612;3;6.38406;3;9.05715;2;4.99425;3;9.14916;2;7.14221;3;9.80763;2;10.55542;1;999999;9;9.12168;2;10.85434;2;;;3
3;5007;500702;50070209;2;10.08;1;2;1;5;63;1;311.317082;0.045692;499.43756;441.42105;486.39109;478.92482;495.47723;539.5946;523.04641;582.68562;527.49249;482.51191;3;2;3;3;3;3;3;4;3;3;9.668;2;8.74997;2;8.126;2;10.06032;2;10.27009;1;9.5024;2;7.90526;3;8.60187;3;12.38129;1;12.03171;1;8.17782;2;10.48834;2;;;3
13;5007;500702;50070210;1;10;1;1;1;3;63;1;311.317082;0.045692;458.80952;434.97821;457.19041;436.93495;428.47279;455.42091;399.48515;438.4679;447.76107;455.58916;2;2;2;2;2;2;1;2;2;2;11.4653;2;9.22126;1;10.57193;1;8.78297;2;11.13407;1;11.31834;1;9.51034;2;9.55618;2;11.19654;1;12.03171;1;9.8007;1;10.85434;2;;;2
4;5007;500702;50070211;2;10.5;1;2;1;1;63;1;311.317082;0.045692;595.43003;574.11755;550.92072;563.07762;585.75846;618.93862;633.42497;639.30966;629.10351;595.86401;4;4;4;4;4;4;5;5;5;4;10.72806;2;12.0657;1;11.89622;1;14.00922;1;11.13407;1;9.71382;1;12.58525;1;10.07795;2;12.38129;1;13.79425;1;9.8007;1;10.48834;2;;;2
